semantics,property_set,transport,robots,runs,expected_runs,complete,latency_samples_mean,latency_overhead_ms_p50_mean,latency_overhead_ms_p95_mean,latency_overhead_ms_p99_mean
eager-qualitative,dwell,direct,20,2,2,True,2000.0,15000.0555305,15000.4352925,15000.4937475
eager-qualitative,dwell,direct,50,2,2,True,5000.0,15000.282213999999,15000.6378175,15000.72007
eager-qualitative,dwell,direct,100,2,2,True,10000.0,15000.55947,15000.912307,15001.077308
eager-qualitative,dwell,ros,1,2,2,True,100.0,10046.034180499999,10046.1812835,10046.2530185
eager-qualitative,dwell,ros,5,2,2,True,500.0,15023.2846405,15023.4297755,15023.580557000001
eager-qualitative,dwell,ros,10,2,2,True,1000.0,15043.2716995,15043.422701,15043.5925575
eager-qualitative,dwell,ros,20,2,2,True,2000.0,15042.778658,15042.9285865,15043.0504365
eager-qualitative,dwell,ros,50,2,2,True,5000.0,15041.254327499999,15041.511376499999,15041.8201875
eager-qualitative,dwell,ros,100,2,2,True,10000.0,15036.2654745,15036.682097500001,15037.214543499998
eager-qualitative,occupancy,direct,1,2,2,True,200.0,6250.288473,8500.26964,8700.2426945
eager-qualitative,occupancy,direct,5,2,2,True,200.0,1775.0225249999999,5824.8729795,6224.840041500001
eager-qualitative,occupancy,direct,10,2,2,True,200.0,10000.121070500001,10000.376737999999,10000.461833500001
eager-qualitative,occupancy,direct,20,2,2,True,200.0,10000.162811999999,10000.4664835,10000.5639805
eager-qualitative,occupancy,direct,50,2,2,True,200.0,10000.450651,10000.777206499999,10001.0350965
eager-qualitative,occupancy,direct,100,2,2,True,200.0,10001.585127999999,10002.1522725,10002.271701500002
eager-qualitative,occupancy,ros,1,2,2,True,200.0,6252.302027000001,8502.0111235,8702.076000500001
eager-qualitative,occupancy,ros,5,2,2,True,200.0,1800.768361,5850.7632295,6250.6358975
eager-qualitative,occupancy,ros,10,2,2,True,200.0,10047.3132505,10047.5638115,10047.775794500001
eager-qualitative,occupancy,ros,20,2,2,True,200.0,10043.514889,10043.65755,10043.818643
eager-qualitative,occupancy,ros,50,2,2,True,200.0,10023.641685999999,10023.7952435,10024.132548
eager-qualitative,occupancy,ros,100,2,2,True,200.0,10046.2207865,10046.732511999999,10047.2762325
robustness-interval,confined,direct,1,2,2,True,400.0,0.030031000000000002,0.045117000000000004,0.059697
robustness-interval,confined,direct,5,2,2,True,2000.0,0.05597,0.08541699999999999,0.1218205
robustness-interval,confined,direct,10,2,2,True,4000.0,0.08199100000000001,0.1152625,0.161007
robustness-interval,confined,direct,20,2,2,True,8000.0,0.130323,0.1836825,0.2240125
robustness-interval,confined,direct,50,2,2,True,20000.0,0.267143,0.3762995,0.46447
robustness-interval,confined,direct,100,2,2,True,40000.0,0.48693149999999996,0.6431935,0.782287
robustness-interval,confined,ros,1,2,2,True,400.0,25.645016,25.8411695,26.1159455
robustness-interval,confined,ros,5,2,2,True,2000.0,46.954733000000004,47.0895645,47.220591
robustness-interval,confined,ros,10,2,2,True,4000.0,44.313937499999994,44.471059499999996,44.730745999999996
robustness-interval,confined,ros,20,2,2,True,8000.0,46.204263,46.4472605,46.671492
robustness-interval,confined,ros,50,2,2,True,20000.0,38.693529999999996,39.336138500000004,39.76874
robustness-interval,confined,ros,100,2,2,True,40000.0,29.7297845,30.925585500000004,31.611152500000003
robustness-interval,dwell,direct,1,2,2,True,400.0,0.5147539999999999,0.9681385,1.0899805
robustness-interval,dwell,direct,5,2,2,True,2000.0,2.762789,4.408466,4.8153255
robustness-interval,dwell,direct,10,2,2,True,4000.0,4.297622499999999,6.353306,6.7485215
robustness-interval,dwell,direct,20,2,2,True,8000.0,6.393987,10.3884115,11.6201605
robustness-interval,dwell,direct,50,2,2,True,20000.0,14.007503,24.3663935,25.471294
robustness-interval,dwell,direct,100,2,2,True,40000.0,26.7977405,57.7076455,60.175675
robustness-interval,dwell,ros,1,2,2,True,400.0,50.574618,52.323778000000004,52.610134
robustness-interval,dwell,ros,5,2,2,True,2000.0,57.760859499999995,69.866647,78.521394
robustness-interval,dwell,ros,10,2,2,True,4000.0,57.369239,79.03983500000001,87.39167950000001
robustness-interval,dwell,ros,20,2,2,True,7560.0,70.892178,1243.3717735,1310.4855945
robustness-interval,occupancy,direct,1,2,2,True,400.0,0.189716,0.27091849999999995,0.3212255
robustness-interval,occupancy,direct,5,2,2,True,400.0,0.7719555,1.0787095,1.2357624999999999
robustness-interval,occupancy,direct,10,2,2,True,400.0,1.52576,1.903927,2.0773004999999998
robustness-interval,occupancy,direct,20,2,2,True,400.0,2.6357825,3.2378074999999997,3.539342
robustness-interval,occupancy,direct,50,2,2,True,400.0,4.6067855,5.5119205000000004,5.9326740000000004
robustness-interval,occupancy,direct,100,2,2,True,400.0,7.8347745,9.059465,9.9465525
robustness-interval,occupancy,ros,1,2,2,True,400.0,50.509421,50.9714865,51.815145
robustness-interval,occupancy,ros,5,2,2,True,400.0,53.557112000000004,59.2419845,68.1704895
robustness-interval,occupancy,ros,10,2,2,True,400.0,59.5231645,67.7556835,74.7791445
robustness-interval,occupancy,ros,20,2,2,True,400.0,75.41068899999999,84.7506805,90.52756
robustness-interval,occupancy,ros,50,2,2,True,398.5,885.338568,1171.8670339999999,1252.1479574999998
robustness-interval,occupancy,ros,100,2,2,True,397.0,1872.1660115,2298.6828705,2336.128337
